titulo,autor,ano,paginas,editora,rating,avaliacao,resenha,abandonos,relendo,lendo,querem_ler,leram,genero,male,female
O Terceiro Prato,Dan Barber,2015,480,Rocco,4.3,16,1,1,0,10,112,1,Bem estar e lazer / Culinária e Gastronomia ,35,65
As Férias da Minha Vida,Clara Savelli,2019,336,Intrínseca,4.1,501,100,17,1,57,2,544,Ficção / Jovem adulto / Literatura Brasileira / Romance ,5,95
Tempestade de Gelo,Rick Moody,1997,240,Rocco,3.8,16,0,1,0,2,13,21,fonte: Livraria Cultura ,61,39
Marionete,Daniel Cole,2019,352,Arqueiro,4.0,348,76,1,0,42,1,406,Crime / Ficção / Literatura Estrangeira / Suspense e Mistério ,15,85
Outro Dia,David Levithan,2016,322,Galera,4.0,1,108,56,1,115,4,2,Literatura Estrangeira ,19,81
Pê de pai,Planeta do Brasil,2009,32,Planeta,4.4,30,1,0,0,3,33,46,Infantil / Infantojuvenil ,23,77
Querida Filha,Elizabeth Little,2017,368,Rocco,3.4,52,7,1,0,6,201,62,Crime / Ficção / Literatura Estrangeira / Suspense e Mistério ,7,93
Anna Karênina,Leon Tolstói,2019,856,Martin,4.5,411,29,35,5,154,2,695,Literatura Estrangeira / Romance ,17,83
A Legião Estrangeira,Clarice Lispector,2020,128,Rocco,4.1,1,42,40,1,114,1,2," - BERTA WALDMAN, Profª de Literatura Brasileira e Teoria Literária  UNICAMP/USPContos ",27,73
Coraline,Neil Gaiman,2020,224,Intrínseca,4.3,21,1,204,68,1,27,33,Aventura / Fantasia / Ficção / Ficção científica / Horror / Infantojuvenil / Literatura Estrangeira / Suspense e Mistério / Terror ,19,81
Surpresa Irresistível,Christina Lauren,2015,336,Universo,4.1,2,54,16,7,47,1,3,Erótico / Ficção / Literatura Estrangeira / Romance ,1,99
O livro de colorir do Gravity Falls:,Emmy Cicierega,2020,64,Universo,4.5,5,0,0,0,4,334,12," Será que pintar pode ser um ato de coragem? É possível fazer sombreados incríveis que elevem você até alturas heroicas? Qual será a cor responsável por salvar o dia? Descubra tudo no livro de colorir oficial de Gravity Falls!EDIÇÃO EM CAPA DURAArtes / Aventura / Humor, Comédia / Infantil / Infantojuvenil ",16,84
La Bailarina de Auschwitz,Edith Eger,2018,412,Editora,4.6,541,91,3,1,80,2,633,"Biografia, Autobiografia, Memórias / Autoajuda / Literatura Estrangeira ",11,89
A Origem,Dan Brown,2020,560,Arqueiro,4.1,7,642,155,15,931,8,11,Ficção / Suspense e Mistério ,33,67
Medidas Desesperadas,David Morrell,1998,410,Rocco,4.1,14,0,0,0,0,18,17,"]Mais uma vez, Morrell exibe sua maestria, que tem conquistado entusiásticos elogios da crítica e uma legião de leitores no mundo inteiro ",35,65
Eclipse,Stephenie Meyer,2009,368,Intrínseca,3.7,86,1,2,355,1,9,283,Autoajuda / Chick-lit / Fantasia / Ficção / Literatura Estrangeira / Romance ,11,89
O Poder,L. J. Smith,2013,240,Galera,4.0,824,32,8,1,32,1,1,Jovem adulto / Ficção / Romance / Literatura Estrangeira ,19,81
Os dias mais intensos,Rosângela Moro,2020,152,Editora,0.0,0,0,0,0,2,1,1,"Biografia, Autobiografia, Memórias / Literatura Brasileira ",31,69
Beije a Garota,Tara Sivec,2019,228,The,4.3,223,29,0,1,5,237,234, Será que Ariel e Eric conseguirão navegar pela tempestade e encontrar uma maneira de ficarem juntos?Chick-lit / Ficção / Literatura Estrangeira / Romance ,1,99
Amaldiçoadas,Jessica Spotswood,2014,288,Arqueiro,4.4,1,92,17,1,40,1,1,Literatura Estrangeira ,5,95
Feminino e Masculino,Leonardo Boff,2002,287,Sextante,4.1,44,3,9,1,12,173,104,Filosofia / Religião e Espiritualidade ,25,75
Diários de Stefan - Sede de Sangue,L. J. Smith,2012,176,Galera,4.0,705,21,23,4,44,2,1," Stefan sabe que ele deve salvar seu irmão, mas vai custar-lhe o seu novo amor?Jovem adulto / Ficção / Romance / Literatura Estrangeira ",11,89
Tudo o que você precisou desaprender para virar um idiota,Meteoro Brasil,2019,288,Editora,4.5,442,70,10,0,150,1,517," Com a mesma clareza e didática dos seus mais de 300 vídeos, que conquistaram mais de 580 mil seguidores no YouTube, o Meteoro Brasil explica a ficção e a realidade por trás de kit gay, marxismo cultural, gramscismo, Lei Rouanet, mudança climática, Paulo Freire, globalismo, vacinas e muito mais!Distopia / Educação / Filosofia ",46,54
Stars,Kathryn Harvey,2013,560,Universo,4.3,318,17,22,0,28,807,485,Erótico / Ficção / Literatura Estrangeira / Romance ,3,97
Descender: Estrelas de Lata,Jeff Lemire,2019,144,Intrínseca,4.3,61,12,0,0,3,89,55,"Ficção científica / HQ, comics, mangá / Literatura Estrangeira ",30,70
Homens: Manual de Instruções,Marcelo Puglia,2013,184,Universo,2.5,25,0,10,0,12,109,43,Autoajuda / Literatura Brasileira ,10,90
Halloween em noite de lua cheia,R. L. Stine,2006,137,Rocco,3.5,24,1,0,0,2,34,49, E uivos de lobisomem ecoam por toda a casa!Terror ,29,71
O novo mundo de Muriel,Liliane Prata,2013,328,Planeta,3.5,75,4,10,0,16,150,124, Qual seria de fato o novo mundo de Muriel? E quais seriam os reais limites entre realidade e fantasia?Infantojuvenil / Literatura Brasileira ,5,95
Um dia minha alma se abriu por inteiro,Iyanla Vanzant,2000,304,Sextante,3.8,129,2,27,3,13,130,284,-Iyanla VazantAutoajuda ,11,89
Nany People - Ser Mulher Não É Para Qualquer Um,Flavio Queiroz,2015,224,Planeta,4.3,110,9,1,1,8,276,163,Ensaios / Literatura Brasileira ,54,46
Vire o jogo!,Dave Asprey,2019,352,HarperCollins,4.1,9,0,2,0,5,63,11,"EDIÇÃO EBOOKAutoajuda / Biografia, Autobiografia, Memórias / Literatura Estrangeira ",49,51
Os fantásticos livros voadores de Modesto Máximo,William Joyce,2012,66,Rocco,4.7,444,18,1,2,15,536,635,Ficção / Infantojuvenil / Literatura Estrangeira ,22,78
WOW! O primeiro contato,Pablo Zorzi,2019,322,Verus,4.1,111,43,2,1,6,352,103,Ficção científica / Literatura Brasileira ,26,74
A Temporada das Marchas,Daniel Silva,2001,345,Rocco,3.7,26,0,1,0,1,61,49,Romance policial / Suspense e Mistério ,39,61
Uma Noite Como Esta,Julia Quinn,2017,272,Arqueiro,4.2,4,294,30,4,133,5,7,Literatura Estrangeira / Romance ,2,98
Black Hammer (Vol #4),Jeff Lemire,2020,192,Intrínseca,4.1,305,26,1,0,7,430,306,"HQ, comics, mangá / Literatura Estrangeira ",53,47
Os segredos dos casais inteligentes,Gustavo Cerbasi,2015,160,Sextante,4.0,195,5,11,2,31,688,318,Cerbasi derruba várias crenças do senso comum sobre como enriquecer e traz respostas surpreendentes para questões polêmicas: Como economizar sem abrir mão do conforto? Quanto poupar para garantir o futuro? Quais são os melhores investimentos? Abrir um negócio com o parceiro atrapalha o relacionamento? O casal deve ter uma conta conjunta ou duas separadas? É melhor comprar ou alugar um imóvel? Qual regime de separação de bens é mais indicado? Declaração de Imposto de Renda: juntos ou separados? Como conversar sobre dinheiro sem começar uma briga? ,35,65
As crônicas de Bane,Cassandra Clare,2015,495,Galera,4.3,5,201,233,11,601,8,8,Fantasia / Ficção / Literatura Estrangeira ,12,88
A Irmã da Lua,Lucinda Riley,2018,592,Arqueiro,4.3,671,53,2,0,49,1,982,Ficção / Literatura Estrangeira / Romance ,4,96
O Livro dos Dias Mortos,Marcus Sedgwick,2006,288,Rocco,3.5,84,3,3,0,5,150,113,Drama / Fantasia ,28,72
Cidade Banida,Ricardo Ragazzo,2015,384,Planeta,3.9,179,18,14,0,22,741,196, Irá ela abraçar essa sua missão?Ficção / Ficção científica / Infantojuvenil / Literatura Brasileira ,21,79
À Sua Espera,Abbi Glines,2016,240,Arqueiro,4.2,2,117,16,7,29,1,4,Romance ,1,99
Harry Potter e a Ordem da Fênix,J.K. Rowling ,2020,800,Rocco,4.6,111,1,1,629,4,94,327,Aventura / Fantasia / Ficção / Infantojuvenil / Literatura Estrangeira / Romance / Suspense e Mistério / Jovem adulto / Línguas Estrangeiras ,26,74
Bem resolvida,Cátia Damasceno,2019,256,HarperCollins,4.3,86,20,1,1,30,321,102," E poder desvendar os segredos de uma mulher com essa característica é bom demais! Aproveitem cada segundo desta aventura! ALICE SALAZAR, maquiadora e blogueiraAutoajuda / Bem estar e lazer / Literatura Brasileira ",1,99
O Jogo do Amor e da Morte,Martha Brockenbrough,2017,304,Verus,4.0,81,21,4,0,9,447,107,Jovem adulto / Literatura Estrangeira / Romance ,7,93
Homem de Ferro - A manopla,Eoin Colfer,2020,272,Excelsior,4.1,19,1,0,1,13,538,16,Ficção / Literatura Estrangeira ,30,70
A Ruiva Revelada,Alice Clayton,2014,256,Universo,3.9,639,15,8,1,33,1,1,?Erótico / Ficção / Literatura Estrangeira / Romance ,1,99
Estrela da Noite,Alyson Noël,2015,248,Intrínseca,3.5,7,120,344,10,218,7,14," É chegado o momento de se questionar: para sobreviver, ela seria mesmo capaz de condenar Haven à escuridão de Shadowland? E será que todo o seu futuro com Damen poderia mesmo depender de uma revelação do passado?Fantasia / Literatura Estrangeira ",6,94
Um Desastre Maravilhoso,Jamie McGuire,2013,344,Planeta,4.1,31,1,719,160,730,13,53, Ou será o princípio de uma relação obsessiva e intensa que irá conduzi-losa um território inimaginávelLiteratura Estrangeira / Romance / Jovem adulto ,3,97
A esperança é uma Torta de Maçã,Sarah Moore Fitzgerald,2016,176,Galera,4.0,81,11,1,0,4,222,95,Infantojuvenil ,4,96
"Egitomania: o fascinante mundo do antigo Egito, vol. 20",Vários,2006,60,Planeta,4.0,4,0,0,0,0,6,7,Pepi I e a sua épocaIntrodução ao Novo ImpérioA festa de OsírisO templo de Medinet Habu ,69,31
O Selo Médici,Theresa Breslin,2007,490,Galera,4.2,112,4,5,1,7,127,169,Aventura / Ficção / Literatura Estrangeira / Romance ,32,68
Deixe-me Ir,Daniela Sacerdoti,2014,296,Universo,4.1,347,20,5,4,41,566,555,Literatura Estrangeira / Romance ,5,95
Boa garota,Jana Aston,2019,212,AllBook,3.5,171,26,2,0,5,156,171,Erótico / Literatura Estrangeira / Romance ,1,99
"Fique quieta, por favor",Raymond Carver,1988,240,Rocco,3.9,24,2,3,0,1,52,38,Contos ,50,50
Dentes negros,André de Leones,2011,144,Rocco,3.6,49,4,1,0,1,84,58,Ficção / Literatura Brasileira / Romance ,43,57
Grandes pensadores,The School of Life,2018,352,Editora,4.4,14,2,1,0,9,81,14,Literatura Estrangeira ,50,50
Os Tambores de Outono,Diana Gabaldon,2016,576,Arqueiro,4.4,1,96,23,2,188,4,2,"Aventura / Biografia, Autobiografia, Memórias / Drama / Ficção / Literatura Estrangeira / Romance ",7,93
A Catedral do Mar,Ildefonso Falcones,2007,592,Rocco,4.4,463,44,27,3,53,1,703,Aventura / Ficção / Literatura Estrangeira / Romance ,26,74
O Álibi,Sandra Brown,2009,478,Rocco,4.0,234,13,9,0,14,261,363, Romance policial / Suspense e Mistério ,13,87
Meia Guerra,Joe Abercrombie,2018,368,Arqueiro,4.2,400,29,6,1,16,1,461,Fantasia / Ficção / Literatura Estrangeira ,38,62
Minha vida com Pablo Escobar,Jhon Jairo Velásquez ,2017,352,Universo,3.7,39,2,2,0,13,662,46,"Biografia, Autobiografia, Memórias / Literatura Estrangeira / Não-ficção ",34,66
Nona Casa,Leigh Bardugo,2020,432,Editora,4.2,382,72,18,1,153,2,343,  STEPHEN KINGFantasia / Ficção / Literatura Estrangeira / Suspense e Mistério ,11,89
BELA MATERNIDADE,Bela Gil,2018,256,Sextante,3.9,37,0,0,0,9,52,51,"Bem estar e lazer / Biografia, Autobiografia, Memórias / Medicina e Saúde / Não-ficção ",3,97
A Conquista do Brasil 1500-1600,Thales Guaracy,2015,272,Planeta,4.0,70,8,1,1,18,245,96,História / História do Brasil / Literatura Brasileira ,68,32
A Arte de Animais Fantásticos. Os Crimes de Grindelwald,Dermot Power,2018,256,HarperCollins,4.7,10,0,0,0,1,99,11,Fantasia / Ficção / Literatura Estrangeira ,21,79
A Intuição do Instante,Gaston Bachelard,2007,107,Verus,4.6,14,1,1,0,2,55,30,br/A_INTUICAO_DO_INSTANTE/artigo/4e3d788f-c339-4a72-adfb-63162dd842cd ,41,59
Para Todos os Garotos que Já Amei,Jenny Han,2020,320,Intrínseca,4.4,29,1,374,112,1,37,52,Ficção / Literatura Estrangeira / Romance ,3,97
Otolina e A Raposa Roxa,Chris Riddell,2017,184,Galera,3.9,7,0,0,0,1,26,12," Quem seria o poeta secreto, de coração partido?'Infantojuvenil / Literatura Estrangeira ",5,95
Conquistada por Um Visconde,Stephanie Laurens,2016,368,HarperCollins,3.6,572,56,29,0,35,1,816,Romance ,1,99
Desaparecido Para Sempre,Harlan Coben,2009,320,Sextante,4.4,6,330,122,13,294,6,11,Crime / Ficção / Literatura Estrangeira / Romance policial / Suspense e Mistério ,18,82
A Culpa é das Estrelas,John Green,2014,288,Intrínseca,4.2,134,4,3,755,6,135,413, Literatura Estrangeira / Romance ,12,88
Cidade dos Etéreos,Ransom Riggs,2016,384,Intrínseca,4.2,11,486,359,14,1,14,18,Fantasia / Ficção / Jovem adulto / Literatura Estrangeira / Infantojuvenil / Romance ,19,81
A Tragédia de Macbeth,William Shakespeare,2009,144,Martin,4.1,6,171,207,15,269,5,13,Artes / Drama / Ficção / Literatura Estrangeira ,33,67
Ruído Branco,Don DeLillo,2004,320,Planeta,4.1,384,13,8,3,23,1,509,"""The New York Times Book ReviewFicção / Literatura Estrangeira / Romance ",45,55
Mil palavras,Jennifer Brown,2018,208,Gutenberg,3.7,522,57,1,0,12,1,585,Jovem adulto / Literatura Estrangeira / Romance ,6,94
A Fascinação pelo Pior,Florian Zeller,2008,168,Rocco,3.1,15,1,3,0,2,20,19,com) ,33,67
O Yoga que Conduz à Plenitude,Gloria Arieira,2017,304,Sextante,4.5,19,2,1,0,18,450,22,Literatura Brasileira / Religião e Espiritualidade ,19,81
Voltar a Palermo,Luzilá ,2002,213,Rocco,4.1,7,0,1,0,1,8,23,Romance ,31,69
Procura-se Um Marido,Carina Rissi,2012,476,Verus,4.5,19,1,250,58,568,14,29,"Humor, Comédia / Literatura Brasileira / Romance ",1,99
As Letras dos Beatles,Hunter Davies,2016,384,Planeta,4.5,63,11,2,1,22,233,96,Literatura Estrangeira / Música ,29,71
Sobre a capacidade de amar de outros assuntos poéticos,Walcyr Carrasco,2019,240,Editora,3.0,18,0,0,0,3,93,13,Contos / Ficção / Literatura Brasileira ,13,87
McFly,Babi Dewet,2013,144,Universo,4.1,177,2,0,1,6,141,303," Saiba tudo sobre as turnês e conheça um pouco mais de cada um dos integrantes da banda que inovou o gênero boy band: os rapazes tocam, cantam e compõem! Imperdível! ",5,95
Ho'oponopono para todos os dias,Maria-Elisa Hurtado-Graciet,2019,128,Editora,4.1,80,15,0,1,15,840,106,Literatura Estrangeira ,11,89
Mulheres solteiras não são de Marte,Letícia Vidica,2011,288,Universo,3.6,143,24,15,0,6,147,219,"Baseado no blog Papo de Calcinha, este livro reúne uma coletânea das melhores histórias postadas no site, e algumas outras inéditas para você! ",4,96
Quem somos nós? ,Pedro Paulo Monteiro,2004,176,Gutenberg,4.8,4,0,1,0,1,10,8,   ,32,68
10 Coisas Que Nós Fizemos,Sarah Mlynowski,2013,336,Record,3.9,468,20,15,0,12,828,681,Ficção / Jovem adulto ,3,97
Todas as Garotas Desaparecidas,Megan Miranda,2017,262,Verus,3.5,921,91,50,2,56,2,1,Ficção / Literatura Estrangeira / Suspense e Mistério ,8,92
Lasher,Anne Rice,2009,576,Rocco,4.0,1,28,45,2,57,1,2,Fantasia / Ficção / Horror / Literatura Estrangeira / Romance / Terror ,23,77
Shakespeare para apaixonados,Allan Percy,2014,144,Sextante,3.4,201,13,1,1,26,373,305,"Reunindo 72 aforismos e citações do grande poeta e dramaturgo, Allan Percymergulha no universo amoroso para refletir sobre ciúme, paixão, romance,insegurança, sedução, desejo e amizade para iluminar nossa vida e responder aperguntas, como: Por que algumas pessoas não têm sorte no campo sentimental? Como curar um mal de amor? É possível viver um romance até o fim da vida? Qual é o segredo da sedução? Quais são os remédios mais eficazes para combater o ciúme? Toda história de amor deve começar por meio da minha iniciativa? ",20,80
Antes que eu vá,Lauren Oliver,2017,352,Intrínseca,4.0,7,399,336,18,364,15,10,Ficção / Literatura Estrangeira / Romance ,6,94
Morte No Verão,Benjamin Black,2020,256,Rocco,3.0,43,16,1,0,5,479,2,Crime / Ficção / Literatura Estrangeira / Suspense e Mistério ,13,87
A Fúria,L. J. Smith,2012,236,Galera,3.6,18,257,613,26,295,8,52,Ficção / Literatura Estrangeira / Romance / Jovem adulto ,11,89
Star Wars - Figuras de Chumbo - 58,Lucasilm Ltd.,2009,20,Planeta,4.0,3,0,0,0,0,0,2," Dengar foi transformado pelo Império em um assassino sem qualquer consciência, suas emoções foram extirpadas ",100,0
Todas as Garotas Desaparecidas,Megan Miranda,2017,294,Verus,3.5,921,91,50,2,56,2,1,Ficção / Literatura Estrangeira / Suspense e Mistério ,8,92
1808,Laurentino Gomes,2012,367,Planeta,4.1,15,651,2,78,2,67,30,História / História do Brasil / História Geral ,31,69
Segunda Guerra,Daniel Rodrigues Aurélio,2009,112,Universo,3.4,38,0,4,0,3,49,73,De maneira emocionante as duas partes deste livro se conectam para dar vida à História e às histórias sobre o maior conflito bélico do século XX! ,41,59
Abraham Lincoln - Caçador de Vampiros, Seth Grahame-Smith,2010,330,Intrínseca,4.0,1,70,83,2,81,2,2,Ficção / Literatura Estrangeira ,33,67
Cidade das Almas Perdidas e Cidade do Fogo Celestial,Cassandra Clare,2019,864,Galera,4.6,71,5,0,1,6,214,99,EDIÇÃO EM CAPA DURAFantasia / Ficção / Literatura Estrangeira ,9,91
O Vitral Encantado,Diana Wynne Jones,2015,304,Galera,3.7,300,33,16,0,15,781,387, Ficção / Infantojuvenil ,14,86
O Sentido da Vida,BTG,2002,144,Sextante,4.0,1,19,4,1,7,132,1,"Este livro, do mesmo autor de Um dia daqueles e traduzido por Luis Fernando Verissimo, apresenta divertidas fotos de animais com um texto afiado sobre a questão que sempre fez grandes filósofos e pensadores quebrarem a cabeça - qual o sentido da vida?  ",21,79
O Mestre Chico Xavier,Luis Eduardo Matos,2007,127,Universo,4.0,23,0,1,0,0,17,36,Literatura Brasileira / Religião e Espiritualidade ,43,57
No Jardim das Feras,Erik Larson,2012,448,Intrínseca,3.9,221,19,18,1,40,822,342,"Biografia, Autobiografia, Memórias / História / Literatura Estrangeira ",30,70
Ninfeias Negras,Michel Bussi,2017,352,Arqueiro,4.2,1,232,50,1,99,3,1,Ficção / Suspense e Mistério ,16,84
Um Peregrino Apaixonado e outras histórias,Henry James,2005,230,Planeta,4.1,9,2,1,0,2,12,16,Literatura Estrangeira ,21,79
Lead,Kylie Scott,2016,368,Universo,4.3,3,141,8,6,39,1,4,Erótico / Ficção / Literatura Estrangeira / Romance ,1,99
Rapunzel e A Lagoa Perdida,Leila Howland,2018,288,Universo,3.9,27,0,1,0,5,110,31,Infantojuvenil ,6,94
Will & Will,John Green,2014,352,Galera,3.7,13,473,1,25,810,13,23,Jovem adulto / Romance ,18,82
O Portal,Laura Ruby,2017,308,Galera,3.8,8,0,1,0,2,91,7,Fantasia / Ficção / Jovem adulto / Literatura Estrangeira ,9,91
#FALSIANE,Jo Piazza,2015,336,HarperCollinsBrasil,3.7,180,15,10,0,20,320,251,"Chick-lit / Literatura Estrangeira / Moda, Estilo e Beleza / Romance ",9,91
Múltipla escolha,Alejandro Zambra,2017,112,Editora,4.0,282,24,0,0,10,213,364," -- Ricardo Piglia, autor argentinoFicção / Literatura Estrangeira ",32,68
A História do Mundo em 100 Objetos,Neil MacGregor,2013,784,Intrínseca,4.4,59,5,1,0,29,321,92,História Geral ,37,63
Ricos Indecentes de Amor,Laurelin Paige,2020,270,AllBook,3.6,105,15,3,1,17,489,129,Erótico / Ficção / Literatura Estrangeira / Romance ,6,94
Por Uma Fração de Segundo,David Baldacci,2005,422,Rocco,4.2,45,3,0,0,2,131,70,Romance policial / Suspense e Mistério ,34,66
Kade,Kym Grosso,2019,190,The,3.7,141,17,8,0,7,702,147,Erótico / Ficção / Literatura Estrangeira / Romance ,8,92
Mente,Audrey Carlan,2017,266,Verus,3.7,345,26,8,0,11,455,474,Erótico / Ficção / Literatura Estrangeira / Romance ,1,99
O cego e a dançarina,João Gilberto Noll,1991,136,Rocco,4.1,59,0,3,0,9,95,124,"""Literatura Brasileira ",54,46
"Pule, Kim Joo So",Gaby Brandalise,2017,208,Verus,3.4,696,84,23,1,43,667,823,Ficção / Literatura Brasileira ,6,94
Como Um Romance,Daniel Pennac,1993,167,Rocco,4.2,444,31,12,1,60,683,746,Ensaios / Não-ficção ,22,78
À Primeira Vista,Nicholas Sparks,2016,256,Arqueiro,3.9,7,294,377,13,477,11,14,Drama / Ficção / Literatura Estrangeira / Romance ,6,94
Como Agarrar Uma Herdeira,Julia Quinn,2017,304,Arqueiro,4.2,6,478,45,4,199,5,8,Ficção / Literatura Estrangeira / Romance ,1,99
Como convencer alguém em 90 segundos,Nicholas Boothman,2012,200,Universo,3.9,880,67,89,4,333,1,1,"Administração / Economia, Finanças / Literatura Estrangeira / Psicologia ",57,43
O Mistério da Estrela: Stardust,Neil Gaiman,2017,221,Rocco,4.2,5,256,121,7,213,6,7,Fantasia / Ficção / Jovem adulto / Literatura Estrangeira / Romance ,27,73
Os Feiticeiros da Tempestade,Philippa Gregory,2016,320,Galera,3.9,34,2,1,0,3,398,28,Fantasia / Ficção / Literatura Estrangeira ,7,93
Uma Aprendizagem ou o Livro dos Prazeres,Clarice Lispector,1998,160,Rocco,4.4,3,157,123,37,252,3,6,Literatura Brasileira / Romance / Ficção / Drama ,20,80
A Morte na Visão do Espiritismo,Alexandre Caldini Neto,2017,224,Sextante,4.4,67,7,0,0,8,612,99," De forma clara e delicada, Caldini desvenda os princípios básicos do espiritismo e esclarece as principais dúvidas sobre a morte e outros temas relacionados: Por que tememos a morte? O que acontece no momento em que morremos? Sofremos? Ao morrer, para onde vamos? Reencontraremos os que amamos e já morreram? O que diz o espiritismo sobre eutanásia, aborto e suicídio? Existe morte prematura? Como lidar com a dor da culpa, do remorso e da saudade? É adequado pedir mensagem daquele que morreu? Como rezar para quem morreu? Como consolar alguém pela morte da pessoa amada?Literatura Brasileira / Religião e Espiritualidade ",17,83
Diário De Um Corpo,Daniel Pennac,2017,336,Rocco,4.5,6,1,0,0,0,72,1,"Biografia, Autobiografia, Memórias / Ficção / Literatura Estrangeira ",28,72
Harry Potter e a Criança Amaldiçoada (Capa Dura),J.K. Rowling ,2016,352,Rocco,3.5,19,1,542,31,902,17,32,Ficção / Literatura Estrangeira ,20,80
Blink,Malcolm Gladwell,2016,240,Sextante,3.9,564,24,24,3,108,1,983,Não-ficção ,58,42
Serena,Ron Rash,2015,320,Intrínseca,3.5,163,18,26,1,13,692,212,Literatura Estrangeira / Romance ,12,88
Nove Regras a Ignorar Antes de Se Apaixonar,Sarah MacLean,2016,384,Arqueiro,4.5,5,391,28,16,74,3,6,Literatura Estrangeira / Romance / Ficção ,1,99
Anjo Mecânico,Cassandra Clare,2012,392,Galera,4.5,19,894,354,87,1,24,30,Fantasia / Infantojuvenil / Jovem adulto / Literatura Estrangeira ,12,88
Uma História de Amor e TOC,Corey Ann Haydu,2015,318,Galera,3.7,933,71,101,0,65,2,1,Romance ,9,91
"Star Wars: 11 cenas inesquecíveis de uma galáxia muito, muito distante...",Sextante,2010,24,Sextante,4.3,133,1,0,0,1,16,199, Que a força esteja com você! ,37,63
La niña del arrozal,José Luis Olaizola,2011,164,Editora,0.0,0,0,0,0,0,1,0,Drama ,0,0
Curvas Perigosas,Maitena,2006,72,Planeta,4.0,131,1,0,0,1,50,250,"HQ, comics, mangá / Humor, Comédia ",11,89
Hell,Lolita Pille,2003,205,Intrínseca,3.6,1,75,105,11,50,1,2,Literatura Estrangeira / Romance ,18,82
Uma Questão de Segundos,Harlan Coben,2013,224,Arqueiro,4.2,1,66,13,3,46,1,2,Literatura Estrangeira / Romance policial / Suspense e Mistério ,17,83
História e Utopia,Emil Cioran,1994,144,Rocco,4.4,50,1,0,0,9,167,95,Ensaios / Filosofia ,69,31
Os Assassinos do Cartão-Postal,Liza Marklund,2014,304,Arqueiro,4.0,1,109,26,3,60,2,2,Romance policial ,14,86
Paixão Índia,Javier Moro,2011,320,Planeta,4.1,1,71,94,4,81,1,1,Aventura / História / Literatura Estrangeira / Política / Psicologia / Romance / Sociologia ,6,94
Os Arquivos Perdidos: Os Legados do Número Nove,Pittacus Lore,2012,94,Intrínseca,4.3,1,40,4,1,24,2,2,Infantojuvenil / Literatura Estrangeira ,31,69
A Herança de Thuban,Licia Troisi,2012,368,Rocco,3.7,195,13,10,0,13,1,285,Literatura Estrangeira ,24,76
A Cruzada das Trevas,Giulio Leoni,2009,400,Planeta,3.3,72,2,13,0,11,163,113," No último volume da trilogia, será que o poeta conseguirá resolver este caso e manter-se a salvo? ",45,55
